molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value,SMILES
CHEMBL133897,6.12,IC50,nM,750,IC50,uM,0.75,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1
CHEMBL336398,7,IC50,nM,100,IC50,uM,0.1,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1
CHEMBL130628,6.52,IC50,nM,300,IC50,uM,0.3,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F
CHEMBL130478,6.1,IC50,nM,800,IC50,uM,0.8,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C
CHEMBL130112,5.62,IC50,nM,2400,IC50,uM,2.4,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1
CHEMBL130098,7,IC50,nM,100,IC50,uM,0.1,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C
CHEMBL336538,6.1,IC50,nM,800,IC50,uM,0.8,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1
CHEMBL335033,7.3,IC50,nM,50,IC50,uM,0.05,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C
CHEMBL338720,6.25,IC50,nM,560,IC50,uM,0.56,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C
CHEMBL131536,5.85,IC50,nM,1400,IC50,uM,1.4,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1
CHEMBL106126,4.77,IC50,nM,17000,IC50,uM,17,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1
CHEMBL334971,5.96,IC50,nM,1100,IC50,uM,1.1,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1
CHEMBL130666,7.58,IC50,nM,26,IC50,uM,0.026,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1
CHEMBL133388,6.1,IC50,nM,800,IC50,uM,0.8,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C
CHEMBL336524,7.25,IC50,nM,56,IC50,uM,0.056,CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C
CHEMBL336276,6.7,IC50,nM,200,IC50,uM,0.2,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C
CHEMBL334395,6.52,IC50,nM,300,IC50,uM,0.3,CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C
CHEMBL131320,6.7,IC50,nM,200,IC50,uM,0.2,Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1
CHEMBL337714,6.3,IC50,nM,500,IC50,uM,0.5,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C
CHEMBL54126,7.66,IC50,nM,22,IC50,nM,22,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-]
CHEMBL65667,5.42,IC50,nM,3800,IC50,uM,3.8,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCN4CCOCC4)ccc3N(C)[C@@H]12
CHEMBL431519,7.4,IC50,nM,40,IC50,uM,0.04,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12
CHEMBL154972,7.14,IC50,nM,73,IC50,nM,73,N#CC(C#N)=C1Nc2ccccc2N1CCNCc1ccc(CN2CCCCC2)o1
CHEMBL152722,5.51,IC50,nM,3100,IC50,nM,3100,COc1cc(N)c(Cl)cc1C(=O)NCCNCc1ccc(CN(C)C)o1
CHEMBL349127,5.35,IC50,nM,4500,IC50,nM,4500,CN1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1
CHEMBL156659,5.92,IC50,nM,1200,IC50,nM,1200,Oc1nc2ccccc2n1CCNCc1ccc(CN2CCCCC2)o1
CHEMBL155322,6.27,IC50,nM,540,IC50,nM,540,CC1CCCCN1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1
CHEMBL154211,7.52,IC50,nM,30,IC50,nM,30,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1
CHEMBL1203537,6.08,IC50,nM,830,IC50,nM,830,CNC(NCCNCc1ccc(CN2CCCCC2)o1)=C(C#N)C#N.Cl
CHEMBL345849,6.41,IC50,nM,390,IC50,nM,390,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCC(O)CC2)o1
CHEMBL154689,6.41,IC50,nM,390,IC50,nM,390,CN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1
CHEMBL346733,6.37,IC50,nM,430,IC50,nM,430,CCN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1
CHEMBL1203539,6.22,IC50,nM,600,IC50,nM,600,CCN(CC)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1.Cl
CHEMBL63173,4.68,IC50,nM,21000,IC50,uM,21,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCN4CCOCC4)ccc3N(C)[C@@H]12
CHEMBL433041,6.54,IC50,nM,290,IC50,uM,0.29,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
CHEMBL292788,6.16,IC50,nM,700,IC50,uM,0.7,CN1CC[C@@]2(C)c3cc(OC(=O)NCCN4CCOCC4)ccc3N(C)[C@@H]12
CHEMBL155392,6.2,IC50,nM,630,IC50,nM,630,CNC(NCCNCc1ccc(CN(C)C)o1)=C(C#N)C#N
CHEMBL153311,5.68,IC50,nM,2100,IC50,nM,2100,CNC(NCCNCc1ccc(CN(C(C)C)C(C)C)o1)=C(C#N)C#N
CHEMBL154263,6.54,IC50,nM,290,IC50,nM,290,CC1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1
CHEMBL62664,7.4,IC50,nM,40,IC50,uM,0.04,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12
CHEMBL155111,7.1,IC50,nM,80,IC50,nM,80,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC2)o1
CHEMBL1203534,7.02,IC50,nM,95,IC50,nM,95,Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CC=CCC2)o1
CHEMBL64011,7.22,IC50,nM,60,IC50,uM,0.06,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12
CHEMBL65585,7.16,IC50,nM,70,IC50,uM,0.07,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12
CHEMBL347539,6.55,IC50,nM,280,IC50,nM,280,CNC(NCCNCc1ccc(CN2CCCC2)o1)=C(C#N)C#N
CHEMBL154433,4.96,IC50,nM,11000,IC50,nM,11000,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCOCC2)o1
CHEMBL157208,5.82,IC50,nM,1500,IC50,nM,1500,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCSCC2)o1
CHEMBL1790041,6.19,IC50,nM,650,IC50,nM,650,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
CHEMBL65356,6.03,IC50,nM,930,IC50,uM,0.93,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12
CHEMBL154366,6.43,IC50,nM,370,IC50,nM,370,CC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1
CHEMBL153821,5.35,IC50,nM,4500,IC50,nM,4500,CC1CCCC(C)N1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1
CHEMBL94,7.52,IC50,nM,30,IC50,uM,0.03,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
CHEMBL303574,5.12,IC50,nM,7600,IC50,uM,7.6,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCN4CCOCC4)ccc3N(C)[C@@H]12
CHEMBL65018,7.1,IC50,nM,80,IC50,uM,0.08,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12
CHEMBL66309,6.42,IC50,nM,380,IC50,uM,0.38,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12
CHEMBL1203535,5.48,IC50,nM,3300,IC50,nM,3300,COC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1.Cl
CHEMBL152260,6.43,IC50,nM,370,IC50,nM,370,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC(O)C2)o1
CHEMBL154950,5.03,IC50,nM,9300,IC50,nM,9300,C/N=c1\c(O)c(O)\c1=N/CCNCc1ccc(CN2CCCCC2)o1
CHEMBL1203538,6.92,IC50,nM,120,IC50,nM,120,Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCCC2)o1
CHEMBL19060,5.14,IC50,nM,7244.36,-Log IC50,,5.14,COc1ccccc1CNCCCCCCNCCSSCCNCCCCCCNCc1ccccc1OC
CHEMBL422977,5.35,IC50,nM,4466.84,-Log IC50,,5.35,COc1ccccc1CNCCCCCCNCCCCCCCNCCCCCCNCc1ccccc1OC
CHEMBL11805,6.77,IC50,nM,169.82,-Log IC50,,6.77,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC
CHEMBL11805,9.98,Ki,nM,0.104,Ki,nM,0.104,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC
CHEMBL302179,5.19,IC50,nM,6456.54,-Log IC50,,5.19,COc1ccccc1CNCCCCCCNCCCCCCNCCCCCCNCc1ccccc1OC
CHEMBL94,7.85,IC50,nM,14.13,-Log IC50,,7.85,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
CHEMBL208599,10.59,Ki,nM,0.026,Ki,nM,0.026,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2
CHEMBL27673,5.27,IC50,nM,5370.32,-Log IC50,,5.27,COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC
CHEMBL60745,8.79,Ki,nM,1.63,Ki,nM,1.63,CC[N+](C)(C)c1cccc(O)c1.[Br-]
CHEMBL132377,6.51,IC50,nM,309.03,-Log IC50,,6.51,COc1ccccc1CNCCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCNCc1ccccc1OC
