molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,SMILES,pchembl_score,standard_score,Activity_Score,Activity,MolWt,LogP,TPSA,HBA,HBD,RotBonds
CHEMBL133897,6.12,IC50,nM,750,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,0.53,0.25,0.446,Inactive,312.325,2.8032,66.49,6,0,6
CHEMBL336398,7,IC50,nM,100,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,0.75,0.9,0.795,Active,376.913,4.5546,51.02,5,0,4
CHEMBL130628,6.52,IC50,nM,300,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,0.63,0.7,0.651,Active,404.845,4.7069,51.02,5,0,3
CHEMBL130478,6.1,IC50,nM,800,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,0.525,0.2,0.4275,Inactive,346.334,3.0953,60.25,6,0,3
CHEMBL130112,5.62,IC50,nM,2400,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,0.405,0,0.2835,Inactive,338.436,4.07992,51.02,5,0,3
CHEMBL130098,7,IC50,nM,100,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,0.75,0.9,0.795,Active,296.783,2.8501,51.02,5,0,2
CHEMBL336538,6.1,IC50,nM,800,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,0.525,0.2,0.4275,Inactive,292.364,2.2053,60.25,6,0,3
CHEMBL335033,7.3,IC50,nM,50,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,0.825,0.95,0.8625,Active,312.398,3.3499,51.02,5,0,2
CHEMBL338720,6.25,IC50,nM,560,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,0.5625,0.44,0.52575,Active,338.436,3.8637,51.02,5,0,3
CHEMBL131536,5.85,IC50,nM,1400,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,0.4625,0,0.32375,Inactive,358.854,4.4249,51.02,5,0,3
CHEMBL106126,4.77,IC50,nM,17000,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,0.1925,0,0.13475,Inactive,266.341,2.57312,55.45,4,0,1
CHEMBL334971,5.96,IC50,nM,1100,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,0.49,0,0.343,Inactive,368.462,4.1702,60.25,6,0,5
CHEMBL130666,7.58,IC50,nM,26,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,0.895,0.974,0.9187,Active,336.848,3.7744,51.02,5,0,2
CHEMBL133388,6.1,IC50,nM,800,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,0.525,0.2,0.4275,Inactive,276.365,2.50512,51.02,5,0,2
CHEMBL336524,7.25,IC50,nM,56,CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,0.8125,0.944,0.85195,Active,310.81,3.2402,51.02,5,0,3
CHEMBL336276,6.7,IC50,nM,200,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,0.675,0.8,0.7125,Active,346.5,4.45562,51.02,5,0,7
